"","GEOID","NAME","label","estimate","measure_type"
"60","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",0,"percent"
"61","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over",NA,"percent"
"62","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over!!35 years and over enrolled in school",23.5,"percent"
"63","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years",NA,"percent"
"64","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Enrolled in college or graduate school",2.5,"percent"
"65","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years",NA,"percent"
"66","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school",0,"percent"
"67","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years",NA,"percent"
"68","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school",3.7,"percent"
"69","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school",9.6,"percent"
"70","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Nursery school, preschool",32.3,"percent"
"71","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",7.1,"percent"
"72","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten",14.2,"percent"
"73","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",7.2,"percent"
"74","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",9.5,"percent"
"75","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",2.7,"percent"
"76","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!College, undergraduate",9.5,"percent"
"77","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Graduate, professional school",18.1,"percent"
"78","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school",11.5,"percent"
"79","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",9.3,"percent"
"80","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",13.5,"percent"
"81","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years",NA,"percent"
"82","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",37,"percent"
"83","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years",NA,"percent"
"84","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",10.5,"percent"
"85","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years",NA,"percent"
"86","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",8.1,"percent"
"87","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17",NA,"percent"
"88","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17!!15 to 17 year olds enrolled in school",4.8,"percent"
"89","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years",NA,"percent"
"90","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",0,"percent"
"91","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years",NA,"percent"
