,age,2018,2019,age_group,pct_of_total_2018,pct_of_total_2019
58,58,4449262,4385570,50-64,0.013619321175069995,0.013360883418052007
59,59,4289580,4413855,50-64,0.013130529900499621,0.013447055246908824
60,60,4254388,4252663,50-64,0.013022806158721083,0.012955974835486219
61,61,4197441,4215172,50-64,0.012848489725353771,0.012841756414568029
62,62,4038371,4156645,50-64,0.012361571800691572,0.012663450647288443
63,63,3995629,3996088,50-64,0.01223073728798703,0.012174304798755146
64,64,3820738,3950578,50-64,0.01169539081937512,0.012035656047428511
65,65,3664838,3774597,65+,0.011218176357472581,0.01149952012329728
66,66,3511843,3618069,65+,0.010749854185575346,0.011022648847804961
67,67,3394794,3464437,65+,0.010391563771519988,0.010554600397710182
68,68,3305114,3345475,65+,0.010117050667328714,0.010192176034815892
69,69,3190630,3252423,65+,0.009766611793329674,0.009908687930916838
70,70,3141469,3136704,65+,0.009616128533794135,0.009556143548258813
71,71,3256743,3083083,65+,0.009968985620909934,0.009392784183396464
72,72,2387218,3191048,65+,0.007307344152110674,0.009721705572914813
73,73,2338843,2334433,65+,0.007159266861574848,0.007111980235238156
74,74,2257691,2283164,65+,0.006910858214927543,0.006955786369455576
75,75,2288885,2198286,65+,0.007006343961717715,0.006697200812103301
76,76,1974261,2222392,65+,0.006043270691277533,0.006770641084559461
77,77,1783292,1911261,65+,0.005458708994195649,0.005822763153357373
78,78,1664122,1720817,65+,0.005093926137076178,0.005242564893685883
79,79,1541515,1599909,65+,0.004718622522384167,0.004874211933338692
80,80,1450820,1475278,65+,0.004441002473492244,0.004494516646004265
81,81,1310691,1381641,65+,0.004012063504076332,0.004209246307002463
82,82,1223611,1241341,65+,0.0037455090759655357,0.0037818145379159597
83,83,1143041,1151190,65+,0.0034988819483485535,0.003507164492193099
84,84,995618,1067757,65+,0.003047615831497637,0.003252981207872399
85,85,932507,922467,65+,0.0028544312137610676,0.002810347125687238
86,86,856172,856646,65+,0.0026207675450674803,0.0026098197809043245
87,87,781145,778923,65+,0.002391107702648226,0.0023730323298087417
88,88,714808,703078,65+,0.00218804820451334,0.0021419663103763404
89,89,610666,635982,65+,0.001869266495139035,0.001937554607036155
90,90,539372,536447,65+,0.0016510334749537908,0.0016343156823317708
91,91,461887,467172,65+,0.0014138496226092224,0.0014232655340533139
92,92,382414,394067,65+,0.00117058044409235,0.0012005470773243843
93,93,320359,320785,65+,0.0009806282732561598,0.0009772893802310334
94,94,256353,264277,65+,0.0007847040343303492,0.0008051346089727287
95,95,198913,207086,65+,0.0006088785135370086,0.0006308990401500187
96,96,151823,157463,65+,0.00046473464560249585,0.0004797198051009841
97,97,113716,116969,65+,0.0003480880035260363,0.0003563525773220186
98,98,77943,86150,65+,0.00023858580374643717,0.000262460776242354
99,99,53184,57124,65+,0.0001627977802554497,0.00017403144958872001
