,GEOID,age_bin,risk,group_pop
142,78721,11-13,high,106.26276580571346
143,78721,14-17,high,116.78398861937994
144,78721,18-49,high,2416.2085102966944
145,78721,50-64,high,1105.705218687986
146,78721,65+,high,992.9045525462368
154,78722,00-04,high,23.01346586907664
155,78722,05-10,high,51.13689949529624
156,78722,11-13,high,16.41656245974522
157,78722,14-17,high,15.824788032396723
158,78722,18-49,high,1175.068936543341
159,78722,50-64,high,325.9424299171277
160,78722,65+,high,359.11027564645286
168,78723,00-04,high,173.05459605475338
169,78723,05-10,high,549.533522143297
170,78723,11-13,high,237.17732722723227
171,78723,14-17,high,248.6221728858249
172,78723,18-49,high,5733.874740304237
173,78723,50-64,high,2763.067272394593
174,78723,65+,high,2048.931703918516
182,78724,00-04,high,35.74131511754892
183,78724,05-10,high,133.43889189377447
184,78724,11-13,high,73.12639585017531
185,78724,14-17,high,112.28822747705978
186,78724,18-49,high,953.22753042306
187,78724,50-64,high,308.8067800957399
188,78724,65+,high,166.9951494086108
196,78725,00-04,high,3.2841797916030924
197,78725,05-10,high,17.580224645846894
198,78725,11-13,high,9.951711948739076
199,78725,14-17,high,15.348508229095994
200,78725,18-49,high,141.1795929716786
201,78725,50-64,high,96.66259964106222
202,78725,65+,high,40.29867677347314
210,78727,00-04,high,36.66554866685091
211,78727,05-10,high,97.01979184514164
212,78727,11-13,high,36.62080699042584
213,78727,14-17,high,79.11175692723529
214,78727,18-49,high,1557.9221392240752
215,78727,50-64,high,845.5678079407592
216,78727,65+,high,592.7017443863022
224,78730,00-04,high,6.372059804362428
225,78730,05-10,high,40.73585571335207
226,78730,11-13,high,24.640710847708394
227,78730,14-17,high,37.32391854399258
228,78730,18-49,high,369.2564240347395
229,78730,50-64,high,244.4353809108578
230,78730,65+,high,293.30124225848607
238,78731,00-04,high,66.89162759553729
239,78731,05-10,high,220.43932241389373
240,78731,11-13,high,119.39813909705248
241,78731,14-17,high,179.87756613584364
242,78731,18-49,high,2925.0118508708088
243,78731,50-64,high,2014.52604925164
244,78731,65+,high,2619.84867847095
252,78733,00-04,high,0.1802136527133902
253,78733,05-10,high,0.7685523075981638
254,78733,11-13,high,0.4591144797100467
255,78733,14-17,high,0.7646627707200838
256,78733,18-49,high,4.5891910964258695
257,78733,50-64,high,5.332602976619768
258,78733,65+,high,2.944810744071113
266,78735,00-04,high,56.455655587938
267,78735,05-10,high,254.204311331414
268,78735,11-13,high,94.3046724431584
269,78735,14-17,high,143.39009906458395
270,78735,18-49,high,2001.183813656781
271,78735,50-64,high,1317.593367150086
272,78735,65+,high,1410.0339268316854
280,78736,00-04,high,12.70527022995565
281,78736,05-10,high,82.92933643471571
282,78736,11-13,high,31.098539311733028
283,78736,14-17,high,44.800309443652985
284,78736,18-49,high,647.9265543742082
285,78736,50-64,high,670.5860379907882
286,78736,65+,high,477.8858675734893
294,78737,00-04,high,17.875442677631984
295,78737,05-10,high,77.39110187753916
296,78737,11-13,high,49.37512280954856
297,78737,14-17,high,61.943755388685545
298,78737,18-49,high,509.6979495044933
299,78737,50-64,high,444.1045630765836
300,78737,65+,high,371.44714338338247
308,78738,00-04,high,0.4644942391111842
309,78738,05-10,high,3.623518511980366
310,78738,11-13,high,3.1420586558514074
311,78738,14-17,high,4.3533717546073865
312,78738,18-49,high,29.86030940162658
313,78738,50-64,high,24.270748494501827
314,78738,65+,high,25.296580003981305
322,78739,00-04,high,67.71701996024285
323,78739,05-10,high,384.20205590667007
324,78739,11-13,high,173.69920298190044
325,78739,14-17,high,217.39831187343492
326,78739,18-49,high,1856.3687899260945
327,78739,50-64,high,1447.1327090980865
328,78739,65+,high,1119.1521885747306
